SSEC,SCI,FTSE100,DAX30,CAC40
-0.00492875,-0.005260132,0.004986806,-0.002058732,0.003888886
-0.005069418,-0.003792805,-0.004028882,-0.005093651,-0.002916219
0.005169606,-0.002041325,-0.00584433,0.005990069,-4.86604E-05
-0.016552769,-0.019308188,-0.004683899,-0.004805633,-0.0099477
0.004384253,0.004379961,0.009692259,-0.013065931,-0.016439965
0.006151816,0.002003202,0.006100734,0.012324524,0.015752111
0.002272002,0.001076553,-0.004435836,0.018325825,0.021530741
-0.012861998,-0.010397365,-0.00362059,0.000895487,0.007543592
-0.030336684,-0.045513443,-0.002727392,8.33909E-05,0.002125877
0.000857145,0.003150507,0.011816496,0.000333536,-0.001975759
0.018132286,0.025056938,-0.013164521,0.009238407,0.009375134
-0.029168631,-0.041421119,-0.018202352,-0.008495895,-0.008964084
0.014057102,0.006330219,0.004829658,-0.00825808,-0.002984879
-0.007207333,-0.01297599,0.008072928,0.005431169,0.013269136
-0.006784829,-0.003703568,-0.004397823,0.000757531,0.003922886
0.011720194,0.013392892,0.008702691,-0.001239429,-0.003369525
0.014892148,0.016867721,-0.000691884,0.009681244,0.007326563
0.001309496,0.008384674,-0.014033341,0.003960799,0.002593188
0.013782581,0.008445271,-0.003133624,-0.007376062,-0.014102479
0.002963425,-0.000264284,0.016183007,-0.003564791,0.000794539
-0.008896161,-0.015309165,0.00709152,0.015088704,0.016756959
0.015897277,0.030706483,-0.002788301,-8.35158E-05,-0.001495352
0.003253896,0.010022587,0.002346515,0.001393438,-0.007362543
0.025394984,0.036226184,0.008945573,0.003131916,0.002630934
3.79424E-05,-0.00205844,0.006660023,0.009341469,0.010770383
0.008505677,0.013632452,-0.006409109,0.005439603,0.004270558
0.001046547,-0.007492509,-0.005333518,-0.000319531,-0.004267003
-0.009282669,-0.013701554,0.007124573,0.002647216,0.0010756
0.011193914,0.020562732,-0.000463475,0.004212373,0.001506664
-0.026167619,-0.031007258,-0.003796973,0.003449913,-0.001143537
0.002489914,0.001553715,0.007982336,0.000461021,0.003349102
0.005578786,0.006861602,0.000346739,0.001927017,0.009955381
-1.38956E-05,0.00440834,-0.000721164,-0.001185547,0.000252935
0.009202518,0.021256336,-0.011209948,0.002876237,0.001163208
0.004774445,0.003587696,-0.002999268,-0.014137968,-0.014368051
-0.001750647,-0.005286237,-0.012211594,-0.000472561,-0.011504829
-0.003716783,-0.014138679,-0.000599305,-0.016909549,-0.009172228
